Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw
"2.658 sec",0.1033794,-0.01282226,2.720152,0.1094164,2.29004454612732,2.94260287284851,-7.58569478988647,0.9083602,-0.0682314,-0.0005595802
"2.659 sec",0.1120416,-0.01391792,2.510599,0.1091973,2.29128527641296,2.94439101219177,-7.5861382484436,0.9084697,-0.06812511,0.0008853389
"2.66 sec",0.1216996,-0.01514278,2.312198,0.1089784,2.29252672195435,2.94618010520935,-7.58658504486084,0.9085792,-0.0678549,0.002514433
"2.661 sec",0.1323908,-0.01650301,2.126412,0.1087595,2.29376840591431,2.94796991348267,-7.58703422546387,0.9086886,-0.06744343,0.004331632
"2.662 sec",0.1442407,-0.01801625,1.952761,0.1085409,2.29501056671143,2.94976019859314,-7.58748531341553,0.9087979,-0.06691176,0.006343082
"2.663 sec",0.157363,-0.01969933,1.791082,0.1083223,2.2962532043457,2.95155119895935,-7.58793687820435,0.9089072,-0.06627946,0.008557152
"2.664 sec",0.1718839,-0.02157141,1.641056,0.1081039,2.29749608039856,2.95334267616272,-7.58838796615601,0.9090164,-0.06556481,0.01098454
"2.665 sec",0.1879519,-0.0236556,1.502192,0.1078855,2.29873919487,2.95513463020325,-7.58883810043335,0.9091256,-0.06478491,0.01363838
"2.666 sec",0.1676924,0.0245944,1.364332,0.1076672,2.29998254776001,2.95692706108093,-7.58928632736206,0.9092348,-0.06395583,0.01653435
"2.667 sec",0.1193219,0.1104374,1.241063,0.1074489,2.30122637748718,2.95871996879578,-7.58973217010498,0.9093439,-0.06300998,0.01962862
"2.668 sec",0.05807192,0.2012385,1.187935,0.1072303,2.30246996879578,2.96051335334778,-7.59017515182495,0.9094532,-0.0617468,0.02277832
"2.669 sec",0.02929438,0.2369971,1.195928,0.1070107,2.30371379852295,2.96230697631836,-7.59061431884766,0.909563,-0.05992154,0.02579081
"2.67 sec",0.02932026,0.236994,1.195928,0.1067902,2.3049578666687,2.9641010761261,-7.59104919433594,0.9096733,-0.05740045,0.02852799
"2.671 sec",0.02934625,0.2369908,1.195928,0.1065688,2.30620193481445,2.965895652771,-7.59148073196411,0.909784,-0.05421194,0.03096615
"2.672 sec",0.02937224,0.2369877,1.195928,0.1063473,2.30744600296021,2.96769046783447,-7.59190845489502,0.9098947,-0.05043971,0.03313054
"2.673 sec",0.02939823,0.2369845,1.195928,0.1061261,2.30869007110596,2.96948552131653,-7.5923318862915,0.9100053,-0.04616016,0.0350445
"2.674 sec",0.02942413,0.2369813,1.195928,0.1059053,2.30993437767029,2.97128129005432,-7.59275197982788,0.9101157,-0.04144286,0.03672964
"2.675 sec",0.02944995,0.2369782,1.195928,0.1056854,2.31117844581604,2.97307705879211,-7.59316778182983,0.9102257,-0.03635117,0.03820593
"2.676 sec",0.02947565,0.2369751,1.195928,0.1054664,2.31242251396179,2.97487330436707,-7.59358024597168,0.9103352,-0.03094264,0.03949178
"2.677 sec",0.02950124,0.2369719,1.195928,0.1052485,2.31366658210754,2.9766697883606,-7.5939884185791,0.9104441,-0.02526953,0.04060421
"2.678 sec",0.02952669,0.2369688,1.195928,0.1050316,2.31491041183472,2.97846651077271,-7.59439277648926,0.9105526,-0.01937917,0.0415589
"2.679 sec",0.02955201,0.2369657,1.195928,0.104816,2.31615424156189,2.98026347160339,-7.59479331970215,0.9106604,-0.01331441,0.04237029
"2.68 sec",0.02957719,0.2369626,1.195928,0.1046014,2.31739783287048,2.98206067085266,-7.59519052505493,0.9107677,-0.007113922,0.04305169
"2.681 sec",0.02960224,0.2369596,1.195928,0.104388,2.3186411857605,2.98385810852051,-7.59558343887329,0.9108744,-0.0008125521,0.04361536
"2.682 sec",0.02962716,0.2369565,1.195928,0.1041757,2.31988453865051,2.98565554618835,-7.59597253799438,0.9109805,0.005558355,0.04407255
"2.683 sec",0.02965195,0.2369535,1.195928,0.1039643,2.32112741470337,2.98745322227478,-7.59635782241821,0.9110862,0.01197068,0.04443363
"2.684 sec",0.02967663,0.2369504,1.195928,0.1037542,2.32237029075623,2.98925113677979,-7.59673929214478,0.9111913,0.01839928,0.0447081
"2.685 sec",0.02970119,0.2369474,1.195928,0.1035448,2.32361268997192,2.99104905128479,-7.59711694717407,0.911296,0.02482172,0.0449047
"2.686 sec",0.02972566,0.2369444,1.195928,0.1033365,2.32485485076904,2.99284696578979,-7.5974907875061,0.9114001,0.03121804,0.04503145
